Avis_efficacite_travail_confine,lieu_confinement,variation_temps_travail_conf,nbre_personne_dans_lieu_conf,efficacite_consignes_teletravaildonne_par_employeur,progression_sur_outils_collaboratifs,age,eval_suivi_actualite,frequence_sortir_en_semaine,eval_frequence_interaction_avec_collegues_enconf,evaluation_condition_travail_avant_conf,Consequence_negatives_teletravailconfines,impact_confinnement_relations_avec_confines,nature_travail,nbre_enfants_moins_12,eval_contact_avec_famille,isolation_pour travailler,evaluation_concentration_enconf,avantage_teletravail_confin,fréquence_téletravail_avant_conf,reamenagement_heures_travails_habituels,evaluation_manger,evaluatuin_boire_alcool,evaluation_condition_travail_apres_debut_conf,inquiet_sur_perennite_acauseCovid,taille_entreprise,nbre_resident_enresidence_principal,aimer_continuer_teltravail_enfutur,tempstransport_maison_entreprise,activite_sportif,statut_professionnel,soin_apparence_en_conf,contraries_lies_covid19,genre,acces_surface_exterieur,surface_lieu_confinement,satisfaction_equipement_bureautique,region,cause_distraction,longitude,latitude,nbre_personne_symptem_covid,apprend_de_cette_experience,eval_bien_etre_apres_conf,eval_bien_etre_avant_conf,statut_familial
2,Dans votre domicile,5,1.0,4,Beaucoup,28.0,2,Une fois dans la semaine ou moins,2,4,"Vous vous sentez isolé.e,Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler",C'est pareil,"Travailler en équipe,Manager des équipes ou des projets",0.0,3,Oui,2,"Vous perdez moins de temps dans les transports, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e",Exceptionnellement,"Mon travail est plus étalé sur la journée, le soir et même le weekend",2,2,2,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,1,"La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors",Un homme,"Oui, une terrasse ou un balcon",35.0,2,11,La situation liée au Covid 19,2.50339683029,48.7093130373,1-3 personnes,"A faire plus attention à mes proches, A être plus empathique, A être plus autonome",2.0,4.0,Célibataire
3,Dans votre domicile,3,1.0,5,Beaucoup,27.0,3,Une fois dans la semaine ou moins,3,3,Moins d’infos de proximité sur l’entreprise,C'est pareil,Travailler en équipe,0.0,5,Oui,4,"Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,3,1,3,Beaucoup,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,"Oui, une cour",25.0,5,11,"Vous n'êtes pas particulièrement distrait.e,La situation liée au Covid 19,Les interactions à distance avec vos proches,Les tâches ménagères",2.50339683029,48.7093130373,1-3 personnes,"A télétravailler, A être plus empathique, A faire plus attention à mes proches, A changer mes priorités",4.0,4.0,Célibataire
3,Dans votre domicile,2,2.0,4,Beaucoup,23.0,4,Une fois dans la semaine ou moins,2,4,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,3,Oui,2,"Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous en profitez pour apprendre de nouvelles choses, Vous perdez moins de temps dans les transports",Jamais,Mon travail est plus étalé sur la journée et le soir,5,5,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Alternante,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",42.0,3,27,"La présence d'autres personnes,La situation liée au Covid 19",4.80684682586,47.2342810903,Aucune,"A télétravailler, A changer mes priorités",5.0,5.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,2.0,4,Beaucoup,27.0,5,Un jour sur deux ou moins,2,5,"La communication avec vos collègues est moins fluide,Vous avez l'impression de ne jamais vous arrêter de travailler","Oui, on est plus proches",Travailler en équipe,0.0,1,Oui,3,Vous perdez moins de temps dans les transports,Jamais,Non,2,1,4,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,Non,De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,2,"Ne pas pouvoir sortir dehors,La santé de vos proches,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Un homme,Aucun espace extérieur,63.0,3,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,1-3 personnes,"A télétravailler, A être plus autonome, A faire plus attention à mes proches, A changer mes priorités",5.0,5.0,En couple et nous sommes confinés ensemble
4,Chez un membre de votre famille,4,3.0,5,Un peu,26.0,3,Un jour sur deux ou moins,4,4,Vous vous sentez isolé.e,C'est pareil,Travailler en équipe,0.0,4,Oui,5,"Vous êtes plus concentré.e sur votre travail, Votre entreprise s'organise mieux, Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,Non,3,1,5,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, le plus possible",De 10 à 30min,3,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",70.0,1,53,Vous n'êtes pas particulièrement distrait.e,-2.84155100405,48.177562744,1-3 personnes,"A télétravailler, A faire plus attention à mes proches, A être plus empathique, A changer mes priorités",4.0,2.0,Célibataire
2,Dans votre domicile,1,1.0,4,Beaucoup,25.0,4,Une fois dans la semaine ou moins,4,4,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Vous vous sentez isolé.e,C'est difficile de se concentrer",C'est pareil,"Faire du développement commercial,Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,5,Oui,1,"Votre entreprise s'organise mieux, Vous avez davantage de temps libre, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous dormez mieux, Vous perdez moins de temps dans les transports",Exceptionnellement,Oui car je suis en chômage partiel,2,1,2,Un peu,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 30min à 1h,5,Employé,4,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés,Vous vous sentez seul.e",Une femme,Aucun espace extérieur,29.0,1,11,"La situation liée au Covid 19,Les interactions à distance avec vos proches,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,Les tâches ménagères",2.50339683029,48.7093130373,Plus de 10 personnes,"A être plus autonome, A télétravailler, A changer mes priorités",4.0,2.0,Célibataire
2,Dans votre domicile,2,2.0,3,Un peu,62.0,3,Une fois par jour,2,3,Vous vous sentez isolé.e,C'est pareil,Manager des équipes ou des projets,0.0,4,Oui,3,Vous perdez moins de temps dans les transports,Tous les jours,Mon travail est plus étalé sur la journée,3,3,3,Beaucoup,Très petite entreprise (moins de 10 salariés),1.0,"Oui, le plus possible",De 30min à 1h,2,Profession libérale ou dirigeant,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Un homme,"Oui, un jardin",40.0,4,11,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,2.50339683029,48.7093130373,Plus de 10 personnes,A faire plus attention à mes proches,3.0,3.0,Célibataire
2,Dans votre domicile,1,6.0,4,Un peu,24.0,2,Un jour sur deux ou moins,1,4,"C'est difficile de se concentrer,La communication avec vos collègues est moins fluide",C'est pareil,Vous travaillez seul la plupart du temps,1.0,3,Oui,2,"Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous en profitez pour apprendre de nouvelles choses, Vous pouvez faire des pauses dans la journée",Jamais,Mon travail est plus étalé sur la journée,3,2,2,Un peu,Petite et moyenne entreprise (10 à 250 salariés),7.0,Non,De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, un jardin",300.0,4,11,"La situation liée au Covid 19,Les interactions à distance avec vos proches,La présence d'autres personnes,Les tâches ménagères",2.50339683029,48.7093130373,1-3 personnes,A changer mes priorités,3.0,4.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,3,2.0,4,"Non, je les utilisais déjà beaucoup",27.0,3,Une fois dans la semaine ou moins,3,4,C'est difficile de se concentrer,C'est pareil,Travailler en équipe,0.0,3,Oui,2,Vous perdez moins de temps dans les transports,Jamais,Mon travail est plus étalé sur la journée,3,3,3,Non pas du tout,Entreprise de taille intermédiaire (250 à 5000 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,2,Employé,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,Ne pas pouvoir aller au bureau",Une femme,"Oui, une terrasse ou un balcon",67.0,4,84,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,4.5361294779,45.5146468499,1-3 personnes,Faire preuve de débrouillardise,3.0,4.0,En couple et nous sommes confinés ensemble
2,Dans votre domicile,4,5.0,5,Beaucoup,48.0,3,Une fois dans la semaine ou moins,4,3,"Vous avez l'impression de ne jamais vous arrêter de travailler,Les journées en télétravail sont plus fatiguantes","Oui, on est plus proches","Manager des équipes ou des projets,Faire du développement commercial,Travailler en équipe",1.0,4,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,4,4,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),5.0,"Oui, une fois de temps en temps",De 10 à 30min,4,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter",Un homme,"Oui, une cour",200.0,5,11,Vous n'êtes pas particulièrement distrait.e,2.50339683029,48.7093130373,4-9 personnes,"A télétravailler, A faire plus attention à mes proches, A changer mes priorités",3.0,3.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,3,2.0,4,Un peu,30.0,5,Une fois dans la semaine ou moins,2,3,"La communication avec vos collègues est moins fluide,Vous avez l'impression de ne jamais vous arrêter de travailler","Oui, on est plus proches","Manager des équipes ou des projets,Travailler en équipe,Vous travaillez seul la plupart du temps",0.0,4,Oui,4,"Vous êtes plus concentré.e sur votre travail, Vous avez davantage de temps libre, Vous perdez moins de temps dans les transports",Jamais,Non,3,3,3,Non pas du tout,Petite et moyenne entreprise (10 à 250 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,4,Profession libérale ou dirigeant,2,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches",Une femme,Aucun espace extérieur,51.0,4,11,"La situation liée au Covid 19,Vous regardez très régulièrement l'actualité",2.50339683029,48.7093130373,1-3 personnes,"A changer mes priorités, A télétravailler",4.0,4.0,En couple et nous sommes confinés ensemble
3,Dans votre domicile,5,3.0,5,"Non, je les utilisais déjà beaucoup",28.0,3,Une fois dans la semaine ou moins,3,5,"Vous vous sentez isolé.e,Vous avez l'impression de ne jamais vous arrêter de travailler,Les journées en télétravail sont plus fatiguantes,La communication avec vos collègues est moins fluide",C'est pareil,"Manager des équipes ou des projets,Travailler en équipe",0.0,3,Non,5,Vous perdez moins de temps dans les transports,2 fois par semaine ou plus,"Mon travail est plus étalé sur la journée, le soir et même le weekend",3,1,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),3.0,Comme avant (si vous en faisiez déjà),De 30min à 1h,3,Cadre ou profession intellectuelle supérieure,1,"Les gens qui sortent,la quarantaine devrait être plus stricte,La santé de vos proches,Vous dormez mal",Une femme,Aucun espace extérieur,120.0,3,11,"La situation liée au Covid 19,La présence d'autres personnes",2.50339683029,48.7093130373,1-3 personnes,"A être plus empathique, A changer mes priorités",3.0,5.0,Célibataire
3,Dans votre domicile,4,2.0,2,Un peu,25.0,4,Une fois dans la semaine ou moins,4,4,"C'est difficile de se concentrer,Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,Les journées en télétravail sont plus fatiguantes,Vous avez l'impression de ne jamais vous arrêter de travailler","Oui, on est plus proches","Manager des équipes ou des projets,Travailler en équipe",0.0,5,Non,1,"Vous pouvez vous habiller comme vous voulez, Vous ressentez moins de pression professionnelle et êtes plus détendu.e, Vous pouvez faire des pauses dans la journée, Vous interagissez davantage avec les personnes qui vous entourent, Vous perdez moins de temps dans les transports",1 fois par semaine,Mon travail est plus étalé sur la journée et le soir,2,1,3,Un peu,Grande entreprise (plus de 5000 salariés),1.0,"Oui, une fois de temps en temps",De 30min à 1h,1,Cadre ou profession intellectuelle supérieure,3,"Les gens qui sortent,la quarantaine devrait être plus stricte,L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Ne pas pouvoir sortir dehors,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",27.0,2,11,La présence d'autres personnes,2.50339683029,48.7093130373,4-9 personnes,"A télétravailler, A être plus autonome, A faire plus attention à mes proches, A changer mes priorités",3.0,3.0,Célibataire
3,Dans votre domicile,2,3.0,4,Un peu,26.0,3,Un jour sur deux ou moins,1,4,"C'est difficile de se concentrer,La communication avec vos collègues est moins fluide",C'est pareil,Travailler en équipe,0.0,4,Oui,2,"Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée, Vous perdez moins de temps dans les transports",Jamais,Non,3,2,3,Un peu,Petite et moyenne entreprise (10 à 250 salariés),1.0,"Oui, une fois de temps en temps",De 30min à 1h,3,Cadre ou profession intellectuelle supérieure,2,"Grossir,Ne pas pouvoir sortir dehors",Un homme,"Oui, une terrasse ou un balcon",80.0,4,11,Vous faites régulièrement des tâches personnelles pendant vos horaires de travail,2.50339683029,48.7093130373,Aucune,"A télétravailler, A faire plus attention à mes proches, A changer mes priorités",4.0,4.0,Célibataire
4,Dans votre domicile,3,3.0,2,"Non, je les utilisais déjà beaucoup",24.0,5,Une fois par jour,3,3,"Vous êtes trop souvent interrompu.e par les personnes qui vous entourent,C'est difficile de se concentrer",C'est pareil,Travailler en équipe,0.0,5,Oui,3,Vous ressentez moins de pression professionnelle et êtes plus détendu.e,Exceptionnellement,Mon travail est plus étalé sur la journée et le soir,3,4,3,Non pas du tout,Grande entreprise (plus de 5000 salariés),3.0,"Oui, une fois de temps en temps",De 10 à 30min,5,Cadre ou profession intellectuelle supérieure,2,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Avoir des projets annulés",Une femme,"Oui, une terrasse ou un balcon",130.0,4,11,"La présence d'autres personnes,La situation liée au Covid 19",2.50339683029,48.7093130373,1-3 personnes,"A télétravailler, A faire plus attention à mes proches, A changer mes priorités",4.0,4.0,En couple mais nous ne sommes pas confinés ensemble
2,Dans votre domicile,2,1.0,5,Beaucoup,31.0,4,Une fois dans la semaine ou moins,4,5,"Vous vous sentez isolé.e,C'est difficile de se concentrer",C'est pareil,"Travailler en équipe,Faire du développement commercial,Manager des équipes ou des projets",0.0,2,Oui,2,"Vous avez davantage de temps libre, Vous pouvez vous habiller comme vous voulez, Vous pouvez faire des pauses dans la journée",Jamais,Mon travail est plus étalé sur la journée,3,5,4,Non pas du tout,Très petite entreprise (moins de 10 salariés),2.0,"Oui, une fois de temps en temps",De 10 à 30min,1,Cadre ou profession intellectuelle supérieure,1,"L'inconnu des prochains mois,ne pas savoir quand cette crise va s'arrêter,La santé de vos proches,Grossir,Ne pas pouvoir aller chez le coiffeur,Ne pas pouvoir sortir dehors,Ne pas pouvoir aller au bureau,Vous vous sentez seul.e",Un homme,"Oui, une terrasse ou un balcon",100.0,4,11,"Vous n'êtes pas particulièrement distrait.e,La situation liée au Covid 19,Les tâches ménagères",2.50339683029,48.7093130373,1-3 personnes,"A télétravailler, A être plus autonome",2.0,4.0,Célibataire
